Artist,Song,Streams,Genre
Ice Spice,Munch (Feelin' U) - Remix,"97,205,610",
Ice Spice,Munch (Feelin’ U),"97,205,610",
Ice Spice,On The Radar (Freestyle),"22,314",
Ice Spice,Euphoric,"8,436,822",
Ice Spice,Name of Love,"11,263,265",
Ice Spice,Be a Lady,"3,912,307",
Ice Spice,No Clarity,"17,402,248",
Ice Spice,Cake,"7,616",
Ice Spice,Top (Freestyle),"35,043",
Ice Spice,Been Bad (Freestyle),"1,666",
Ice Spice,Bully Freestyle,"5,002,693",
Omar Apollo,Endlessly Interlude,"2,925,086",
Omar Apollo,Petrified,"9,005,000",
Omar Apollo,Ivory,"5,201,064",
Omar Apollo,Talk,"4,769,040",
Omar Apollo,No Good Reason,"4,822,743",
Omar Apollo,Personally,"2,841,197",
Omar Apollo,En El Olvido,"6,292,278",
Omar Apollo,Can't Get Over You,"2,896,982",
Omar Apollo,Mr. Neighbor,"2,208,603",
Omar Apollo,Waiting on You,"3,977,908",
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),"189,189,560",
Omar Apollo,Archetype,"10,668,727",
Omar Apollo,Endlessly,"13,863,187",
Omar Apollo,Highlight,"3,482,529",
Omar Apollo,Saving All My Love,"1,924,130",
Omar Apollo,Pretty Boy,"1,476,360",
Omar Apollo,Evergreen (You Didn’t Deserve Me At All) - Sped Up Version,"1,848,926",
Omar Apollo,Evergreen (You Didn't Deserve Me At All) - Stripped,"950,360",
Omar Apollo,Tamagotchi,"12,276,887",
Omar Apollo,Killing Me,"22,304,465",
Omar Apollo,Invincible (feat. Daniel Caesar),"34,561,821",
Omar Apollo,Go Away - Spotify Singles,"646,652",
Omar Apollo,California Dreamin' - Spotify Singles,"4,336,304",
Omar Apollo,Bad Life (feat. Kali Uchis),"15,305,318",
Omar Apollo,Care (with Omar Apollo),"2,934,784",
Omar Apollo,Te Olvidaste,"31,369,195",
Omar Apollo,Bi Fren,"3,020,847",
Omar Apollo,The Two of Us,"8,337,062",
Omar Apollo,I'm Amazing,"5,670,255",
