Artist,Song,Streams,Genre,Class
Hayley Gene Penner,Sleep at Night,2180000,Folk,3
Hayley Gene Penner,White Stripes,1500000,Folk,3
Hayley Gene Penner,Smaller,1210000,Folk,3
Hayley Gene Penner,People You Follow,385460,Folk,2
Hayley Gene Penner,somethingyouneverhad,355220,Folk,2
Hayley Gene Penner,Olive Juice,269190,Folk,1
Hayley Gene Penner,Get Away,207340,Folk,1
Hayley Gene Penner,Silver Lining,188430,Folk,1
Hayley Gene Penner,Great Advice,151850,Folk,1
Hayley Gene Penner,Two Birthdays and One Bad,146890,Folk,1
Hayley Gene Penner,Still,146880,Folk,1
Hayley Gene Penner,Talking to Myself,129960,Folk,1
Hayley Gene Penner,Favorite Person,100200,Folk,1
Hayley Gene Penner,Alone Together,78330,Folk,1
Hayley Gene Penner,The Longer It Hurts,74730,Folk,1
Hayley Gene Penner,the pharmacist,55240,Folk,1
Hayley Gene Penner,Know u Then,51770,Folk,1
Hayley Gene Penner,Sick,41710,Folk,1
Hayley Gene Penner,Pools,40020,Folk,1
Hayley Gene Penner,1 of 2,34600,Folk,1
Hayley Gene Penner,fetishizing struggle,30180,Folk,1
Hayley Gene Penner,Everything is Fine,29100,Folk,1
Hayley Gene Penner,When You Lose Her,28360,Folk,1
Hayley Gene Penner,It's Too Late,19780,Folk,1
Hayley Gene Penner,Special,18120,Folk,1
Hayley Gene Penner,whac-a-mole,17320,Folk,1
Hayley Gene Penner,New York Apartment,17200,Folk,1
Hayley Gene Penner,Therapy,16310,Folk,1
Hayley Gene Penner,Love in the Way,15050,Folk,1
Hayley Gene Penner,a good thing,12860,Folk,1
Common Jack,I Don't Mind,983020,"Rock, Folk Rock",3
Common Jack,Still Awake,526470,"Rock, Folk Rock",3
Common Jack,Canyons in the Dark,506760,"Rock, Folk Rock",3
Common Jack,Viñales,505510,"Rock, Folk Rock",3
Common Jack,Uptown,414070,"Rock, Folk Rock",3
Common Jack,The Lake,316690,"Rock, Folk Rock",3
Common Jack,Fresh,270230,"Rock, Folk Rock",3
Common Jack,Coming Down,127300,"Rock, Folk Rock",2
Common Jack,Restless,39160,"Rock, Folk Rock",1
Common Jack,Zion National Park,35780,"Rock, Folk Rock",1
Common Jack,She Don't,24900,"Rock, Folk Rock",1
Common Jack,Spanish Bird,19090,"Rock, Folk Rock",1
Common Jack,I Fall Away,6950,"Rock, Folk Rock",1
Common Jack,I Still Think of You,6330,"Rock, Folk Rock",1
Common Jack,Fine Line,6290,"Rock, Folk Rock",1
Common Jack,Skin and Bone,6090,"Rock, Folk Rock",1
Common Jack,Eli Fletcher,5660,"Rock, Folk Rock",1
Common Jack,A Little Time,5000,"Rock, Folk Rock",1
Common Jack,"Bowl, Holland",4970,"Rock, Folk Rock",1
Common Jack,"Babe, We've Been Here Before",4260,"Rock, Folk Rock",1
Common Jack,Postmodern Blues,4230,"Rock, Folk Rock",1
Common Jack,The Echo,3930,"Rock, Folk Rock",1
Common Jack,I woke up One Morning,3930,"Rock, Folk Rock",1
Common Jack,And It Nearly Killed Me!,3880,"Rock, Folk Rock",1
Common Jack,Old Faded Flag,3370,"Rock, Folk Rock",1
Common Jack,Hymm I,3180,"Rock, Folk Rock",1
Common Jack,"Forever, Ms. Crowne!",2880,"Rock, Folk Rock",1
Common Jack,Who's Feeling Young Now?,2740,"Rock, Folk Rock",1
Common Jack,A Short Reprise,2360,"Rock, Folk Rock",1
Billy Stonecipher,Back on the Road,2210000,"Hip-Hop & Rap, Rock, Pop, Folk rock",3
Billy Stonecipher,Birds,177200,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,Sun and the Stars,168040,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,The Garden,120240,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,The Sweetest Thing,41490,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,Embers,32210,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,I Love You the Most,27810,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,Galón,24420,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,spun,7880,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Billy Stonecipher,a voice and guitar,3370,"Hip-Hop & Rap, Rock, Pop, Folk rock",1
Orange Guava Passion,Eagletown,1180000,"Pop, European, Indie pop",3
Orange Guava Passion,TJ,669220,"Pop, European, Indie pop",3
Orange Guava Passion,Own It,162390,"Pop, European, Indie pop",1
Orange Guava Passion,Slowly,82360,"Pop, European, Indie pop",1
Orange Guava Passion,Asphalt,45950,"Pop, European, Indie pop",1
Back to Yours,Space Cadette,1620000,"Alternative, Alternative rock, Indie pop, Pop",3
Back to Yours,Mallory,1230000,"Alternative, Alternative rock, Indie pop, Pop",3
Back to Yours,Feeling,654650,"Alternative, Alternative rock, Indie pop, Pop",3
Back to Yours,Mango,121080,"Alternative, Alternative rock, Indie pop, Pop",1
Back to Yours,Minor Chords and Pillow Forts,93350,"Alternative, Alternative rock, Indie pop, Pop",1
