Artist,Song,Streams,Genre,Class
Ice Spice,Munch (Feelin' U) - Remix,97205610,,2.0923830156346943
Ice Spice,Munch (Feelin’ U),97205610,,2.0923830156346943
Ice Spice,On The Radar (Freestyle),22314,,0.41930670271989556
Ice Spice,Euphoric,8436822,,1.6043519205003798
Ice Spice,Name of Love,11263265,,1.6620439255867154
Ice Spice,Be a Lady,3912307,,1.450912000501893
Ice Spice,No Clarity,17402248,,1.748909704861724
Ice Spice,Cake,7616,,0.20468911659656697
Ice Spice,Top (Freestyle),35043,,0.5094255598911026
Ice Spice,Been Bad (Freestyle),1666,,0.0
Ice Spice,Bully Freestyle,5002693,,1.5
Omar Apollo,Endlessly Interlude,2925086,,1.1122975579272063
Omar Apollo,Petrified,9005000,,1.592633488244869
Omar Apollo,Ivory,5201064,,1.3581517171955602
Omar Apollo,Talk,4769040,,1.3211081506734699
Omar Apollo,No Good Reason,4822743,,1.325891546335249
Omar Apollo,Personally,2841197,,1.099867526935487
Omar Apollo,En El Olvido,6292278,,1.439510837390644
Omar Apollo,Can't Get Over You,2896982,,1.1081734811414106
Omar Apollo,Mr. Neighbor,2208603,,0.9922778153188111
Omar Apollo,Waiting on You,3977908,,1.2436238988644441
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),189189560,,2.893358798716789
Omar Apollo,Archetype,10668727,,1.6650548235644447
Omar Apollo,Endlessly,13863187,,1.7769397415509098
Omar Apollo,Highlight,3482529,,1.1868112074128925
Omar Apollo,Saving All My Love,1924130,,0.9333767056157108
Omar Apollo,Pretty Boy,1476360,,0.8202213678776025
Omar Apollo,Evergreen (You Didn’t Deserve Me At All) - Sped Up Version,1848926,,0.9163458041306878
Omar Apollo,Evergreen (You Didn't Deserve Me At All) - Stripped,950360,,0.6320548687428
Omar Apollo,Tamagotchi,12276887,,1.7250304501630027
Omar Apollo,Killing Me,22304465,,1.9800813076480264
Omar Apollo,Invincible (feat. Daniel Caesar),34561821,,2.1671666741270332
Omar Apollo,Go Away - Spotify Singles,646652,,0.46757998845987725
Omar Apollo,California Dreamin' - Spotify Singles,4336304,,1.2804744361512461
Omar Apollo,Bad Life (feat. Kali Uchis),15305318,,1.8192141377679292
Omar Apollo,Care (with Omar Apollo),2934784,,1.113711485299717
Omar Apollo,Te Olvidaste,31369195,,2.125763778240493
Omar Apollo,Bi Fren,3020847,,1.1260582008118138
Omar Apollo,The Two of Us,8337062,,1.5597117383579895
Omar Apollo,I'm Amazing,5670255,,1.3950469177308455
Omar Apollo,Hey Boy (feat. Kali Uchis),17212240,,1.8693728319415355
Omar Apollo,Useless,29039258,,2.092795626556881
Omar Apollo,Go Away,26424034,,2.0524814250769747
Omar Apollo,Want U Around (feat. Ruel),54754728,,2.363714471077665
Omar Apollo,Dos Uno Nueve (219),3783291,,1.2221961992639967
Omar Apollo,Kamikaze,21213562,,1.9586602668274686
Omar Apollo,Stayback (feat. Bootsy Collins) - Remix,343543,,0.197396064871721
Omar Apollo,Stayback,6974592,,1.483488459842258
Omar Apollo,High Hopes (feat. Omar Apollo),42741589,,2.2579077167951978
Omar Apollo,Imagine U,6511226,,1.4541220771670034
Omar Apollo,"Late Night Lovin' (feat. Omar Apollo, Jean Dawson & Korbin In Orbit)",566448,,0.41101270042462046
Omar Apollo,Hit Me Up,44833033,,2.278314906449609
Omar Apollo,Frío,13931429,,1.7790373506823638
Omar Apollo,Ipanema,22316913,,1.980319643429925
Omar Apollo,Hearing Your Voice,9698935,,1.624345062531146
Omar Apollo,So Good,12860285,,1.744862113175877
Omar Apollo,There For Me (Interlude),2337602,,1.0165263997231704
Omar Apollo,Kickback,17473715,,1.8758132991372862
Omar Apollo,Friends,7241429,,1.4995265111507894
Omar Apollo,Ashamed,14350207,,1.7916888995978157
Omar Apollo,Trouble,25172571,,2.03175546238331
Omar Apollo,Today (feat. Teo Halm),10003737,,1.6375628859436961
Omar Apollo,Hijo de Su Madre,12721853,,1.7402389788018033
Omar Apollo,Stereo (Intro),3626616,,1.2041292753071686
Omar Apollo,Lucky,2029068,,0.9560606560671883
Omar Apollo,Amor Malo,6193719,,1.4327668823186306
Omar Apollo,Ignorin,7257500,,1.5004734888492097
Omar Apollo,Erase,49804428,,2.323235738744115
Omar Apollo,Heart,9519523,,1.6163691905324058
Omar Apollo,Unbothered,46702915,,2.295769734870655
Omar Apollo,Day by Day,1992256,,0.9482396086549344
Omar Apollo,Algo,5115047,,1.3510279302639114
Omar Apollo,Brakelights,31441834,,2.126751800624365
Omar Apollo,Pram,8946145,,1.5898324091497145
Omar Apollo,Ugotme,66477632,,2.446586587907131
Omar Apollo,12:34 AM,49436572,,2.320068933553773
Omar Apollo,Feel Good,133456,,0.0
Omar Apollo,Spite,11127,,0.0
Omar Apollo,Less of You,5719,,0.0
Ethel Cain,Thoroughfare,3730088,,2.087848402364231
Ethel Cain,Hard Times,5654362,,2.403213853406611
Ethel Cain,Family Tree (Intro),3630983,,2.0674340173750587
Ethel Cain,Family Tree,3538244,,2.047819853551819
Ethel Cain,Ptolemaea,5947618,,2.441545974488136
Ethel Cain,A House In Nebraska,6638685,,2.5248784941931497
Ethel Cain,Sun Bleached Flies,4093395,,2.1583082344997244
Ethel Cain,Televangelism,1631532,,1.4609676556260618
Ethel Cain,August Underground,1454826,,1.37406450008972
Ethel Cain,Western Nights,2883181,,1.8926095802580762
