Artist,Song,Streams,Genre
Hayley Gene Penner,Sleep at Night,"2,180,000",Folk
Hayley Gene Penner,White Stripes,"1,500,000",Folk
Hayley Gene Penner,Smaller,"1,210,000",Folk
Hayley Gene Penner,People You Follow,"385,460",Folk
Hayley Gene Penner,somethingyouneverhad,"355,220",Folk
Hayley Gene Penner,Olive Juice,"269,190",Folk
Hayley Gene Penner,Get Away,"207,340",Folk
Hayley Gene Penner,Silver Lining,"188,430",Folk
Hayley Gene Penner,Great Advice,"151,850",Folk
Hayley Gene Penner,Two Birthdays and One Bad,"146,890",Folk
Hayley Gene Penner,Still,"146,880",Folk
Hayley Gene Penner,Talking to Myself,"129,960",Folk
Hayley Gene Penner,Favorite Person,"100,200",Folk
Hayley Gene Penner,Alone Together,"78,330",Folk
Hayley Gene Penner,The Longer It Hurts,"74,730",Folk
Hayley Gene Penner,the pharmacist,"55,240",Folk
Hayley Gene Penner,Know u Then,"51,770",Folk
Hayley Gene Penner,Sick,"41,710",Folk
Hayley Gene Penner,Pools,"40,020",Folk
Hayley Gene Penner,1 of 2,"34,600",Folk
Hayley Gene Penner,fetishizing struggle,"30,180",Folk
Hayley Gene Penner,Everything is Fine,"29,100",Folk
Hayley Gene Penner,When You Lose Her,"28,360",Folk
Hayley Gene Penner,It's Too Late,"19,780",Folk
Hayley Gene Penner,Special,"18,120",Folk
Hayley Gene Penner,whac-a-mole,"17,320",Folk
Hayley Gene Penner,New York Apartment,"17,200",Folk
Hayley Gene Penner,Therapy,"16,310",Folk
Hayley Gene Penner,Love in the Way,"15,050",Folk
Hayley Gene Penner,a good thing,"12,860",Folk
Common Jack,I Don't Mind,"983,020","Rock, Folk Rock"
Common Jack,Still Awake,"526,470","Rock, Folk Rock"
Common Jack,Canyons in the Dark,"506,760","Rock, Folk Rock"
Common Jack,Viñales,"505,510","Rock, Folk Rock"
Common Jack,Uptown,"414,070","Rock, Folk Rock"
Common Jack,The Lake,"316,690","Rock, Folk Rock"
Common Jack,Fresh,"270,230","Rock, Folk Rock"
Common Jack,Coming Down,"127,300","Rock, Folk Rock"
Common Jack,Restless,"39,160","Rock, Folk Rock"
Common Jack,Zion National Park,"35,780","Rock, Folk Rock"
Common Jack,She Don't,"24,900","Rock, Folk Rock"
Common Jack,Spanish Bird,"19,090","Rock, Folk Rock"
Common Jack,I Fall Away,"6,950","Rock, Folk Rock"
Common Jack,I Still Think of You,"6,330","Rock, Folk Rock"
Common Jack,Fine Line,"6,290","Rock, Folk Rock"
Common Jack,Skin and Bone,"6,090","Rock, Folk Rock"
Common Jack,Eli Fletcher,"5,660","Rock, Folk Rock"
Common Jack,A Little Time,"5,000","Rock, Folk Rock"
Common Jack,"Bowl, Holland","4,970","Rock, Folk Rock"
Common Jack,"Babe, We've Been Here Before","4,260","Rock, Folk Rock"
Common Jack,Postmodern Blues,"4,230","Rock, Folk Rock"
Common Jack,The Echo,"3,930","Rock, Folk Rock"
Common Jack,I woke up One Morning,"3,930","Rock, Folk Rock"
Common Jack,And It Nearly Killed Me!,"3,880","Rock, Folk Rock"
Common Jack,Old Faded Flag,"3,370","Rock, Folk Rock"
Common Jack,Hymm I,"3,180","Rock, Folk Rock"
Common Jack,"Forever, Ms. Crowne!","2,880","Rock, Folk Rock"
Common Jack,Who's Feeling Young Now?,"2,740","Rock, Folk Rock"
Common Jack,A Short Reprise,"2,360","Rock, Folk Rock"
Billy Stonecipher,Back on the Road,"2,210,000","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,Birds,"177,200","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,Sun and the Stars,"168,040","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,The Garden,"120,240","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,The Sweetest Thing,"41,490","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,Embers,"32,210","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,I Love You the Most,"27,810","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,Galón,"24,420","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,spun,"7,880","Hip-Hop & Rap, Rock, Pop, Folk rock"
Billy Stonecipher,a voice and guitar,"3,370","Hip-Hop & Rap, Rock, Pop, Folk rock"
Orange Guava Passion,Eagletown,"1,180,000","Pop, European, Indie pop"
Orange Guava Passion,TJ,"669,220","Pop, European, Indie pop"
Orange Guava Passion,Own It,"162,390","Pop, European, Indie pop"
Orange Guava Passion,Slowly,"82,360","Pop, European, Indie pop"
Orange Guava Passion,Asphalt,"45,950","Pop, European, Indie pop"
Back to Yours,Space Cadette,"1,620,000","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Mallory,"1,230,000","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Feeling,"654,650","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Mango,"121,080","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Minor Chords and Pillow Forts,"93,350","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Blue,"46,150","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Where Are We Going,"44,150","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Rainjacket,"40,390","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Mino Man,"32,650","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Retrograde,"30,560","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,I Must Be Confused,"23,260","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Television,"19,430","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Not Again,"18,670","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,How Can I Change,"18,090","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,i don't wanna share you,"17,750","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Monster,"17,400","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Ira in the Well,"10,480","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Cotton Candy Mustard Cake,"3,960","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,By and By,"3,100","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,State of Mind,"2,570","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Island on the Lake,"1,650","Alternative, Alternative rock, Indie pop, Pop"
Back to Yours,Baby Love,"1,460","Alternative, Alternative rock, Indie pop, Pop"
Jakob Leventhal,This Love is Sarcastic,"297,410","Folk rock, Indie rock, Rock"
Jakob Leventhal,Crowds in the Garden,"297,410","Folk rock, Indie rock, Rock"
Jakob Leventhal,Neckties and Suicides,"62,710","Folk rock, Indie rock, Rock"
Jakob Leventhal,A Weekend at the Governors,"19,690","Folk rock, Indie rock, Rock"
Jakob Leventhal,"Easy, Happy","13,360","Folk rock, Indie rock, Rock"
Jakob Leventhal,Gold and Glass,"7,240","Folk rock, Indie rock, Rock"
Jakob Leventhal,God Damn,"5,180","Folk rock, Indie rock, Rock"
